sample	path	rep	time	treatment
SRR19135598	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135598	49	2h	NS
SRR19135599	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135599	49	2h	NS
SRR19135600	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135600	49	2h	NS
SRR19135601	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135601	49	2h	NS
SRR19135602	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135602	49	2h	NS
SRR19135778	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135778	57	6h	Form
SRR19135779	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135779	57	6h	Form
SRR19135780	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135780	57	6h	Form
SRR19135781	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135781	57	6h	Form
SRR19135782	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135782	57	6h	Form
SRR19135783	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135783	42	6h	Form
SRR19135784	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135784	42	6h	Form
SRR19135785	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135785	42	6h	Form
SRR19135786	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135786	42	6h	Form
SRR19135787	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135787	42	6h	Form
SRR19135788	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135788	48	6h	Form
SRR19135789	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135789	48	6h	Form
SRR19135790	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135790	48	6h	Form
SRR19135791	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135791	48	6h	Form
SRR19135792	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135792	48	6h	Form
SRR19135793	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135793	51	6h	Form
SRR19135794	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135794	51	6h	Form
SRR19135795	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135795	51	6h	Form
SRR19135796	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135796	51	6h	Form
SRR19135797	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135797	51	6h	Form
SRR19135798	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135798	49	6h	Form
SRR19135799	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135799	49	6h	Form
SRR19135800	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135800	49	6h	Form
SRR19135801	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135801	49	6h	Form
SRR19135802	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135802	49	6h	Form
SRR19135948	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135948	57	2h	Form
SRR19135949	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135949	57	2h	Form
SRR19135950	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135950	57	2h	Form
SRR19135951	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135951	57	2h	Form
SRR19135952	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135952	57	2h	Form
SRR19135953	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135953	42	2h	Form
SRR19135954	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135954	42	2h	Form
SRR19135955	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135955	42	2h	Form
SRR19135956	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135956	42	2h	Form
SRR19135957	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135957	42	2h	Form
SRR19135958	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135958	48	2h	Form
SRR19135959	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135959	48	2h	Form
SRR19135960	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135960	48	2h	Form
SRR19135961	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135961	48	2h	Form
SRR19135962	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135962	48	2h	Form
SRR19135963	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135963	51	2h	Form
SRR19135964	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135964	51	2h	Form
SRR19135965	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135965	51	2h	Form
SRR19135966	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135966	51	2h	Form
SRR19135967	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135967	51	2h	Form
SRR19135968	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135968	49	2h	Form
SRR19135969	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135969	49	2h	Form
SRR19135970	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135970	49	2h	Form
SRR19135971	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135971	49	2h	Form
SRR19135972	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135972	49	2h	Form
SRR19136033	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136033	57	6h	NS
SRR19136034	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136034	57	6h	NS
SRR19136035	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136035	57	6h	NS
SRR19136036	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136036	57	6h	NS
SRR19136037	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136037	57	6h	NS
SRR19136038	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136038	42	6h	NS
SRR19136039	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136039	42	6h	NS
SRR19136040	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136040	42	6h	NS
SRR19136041	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136041	42	6h	NS
SRR19136042	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136042	42	6h	NS
SRR19136043	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136043	48	6h	NS
SRR19136044	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136044	48	6h	NS
SRR19136045	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136045	48	6h	NS
SRR19136046	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136046	48	6h	NS
SRR19136047	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136047	48	6h	NS
SRR19136048	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136048	51	6h	NS
SRR19136049	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136049	51	6h	NS
SRR19136050	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136050	51	6h	NS
SRR19136051	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136051	51	6h	NS
SRR19136052	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136052	51	6h	NS
SRR19136053	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136053	49	6h	NS
SRR19136054	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136054	49	6h	NS
SRR19136055	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136055	49	6h	NS
SRR19136056	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136056	49	6h	NS
SRR19136078	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136078	57	2h	NS
SRR19136079	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136079	57	2h	NS
SRR19136080	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136080	57	2h	NS
SRR19136081	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136081	57	2h	NS
SRR19136082	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136082	57	2h	NS
SRR19136083	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136083	42	2h	NS
SRR19136084	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136084	42	2h	NS
SRR19136085	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136085	42	2h	NS
SRR19136086	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136086	42	2h	NS
SRR19136087	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136087	42	2h	NS
SRR19136088	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136088	48	2h	NS
SRR19136089	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136089	48	2h	NS
