sample	path	time	rep	treatment
A5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/A5	6h	1	NS
B5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/B5	6h	1	Fsk
C5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/C5	6h	2	NS
D5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/D5	6h	2	Fsk
E5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/E5	6h	3	NS
F5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/F5	6h	3	Fsk
G5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/G5	6h	4	NS
H5	/work/giembycz_lab/B2B_dKO_analysis/kallisto/H5	6h	4	Fsk
A6	/work/giembycz_lab/B2B_dKO_analysis/kallisto/A6	6h	5	NS
B6	/work/giembycz_lab/B2B_dKO_analysis/kallisto/B6	6h	5	Fsk

