sample	path	rep	time	treatment
SRR19135908	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135908	51	6h	Fsk
SRR19136048	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136048	51	6h	NS
SRR19135648	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135648	57	6h	Fsk
SRR19135653	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135653	42	6h	Fsk
SRR19135903	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135903	48	6h	Fsk
SRR19135913	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135913	49	6h	Fsk
SRR19136033	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136033	57	6h	NS
SRR19136038	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136038	42	6h	NS
SRR19136043	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136043	48	6h	NS
SRR19136053	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136053	49	6h	NS
SRR19135909	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135909	51	6h	Fsk
SRR19135910	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135910	51	6h	Fsk
SRR19135911	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135911	51	6h	Fsk
SRR19135916	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135916	49	6h	Fsk
SRR19135917	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135917	49	6h	Fsk
SRR19136047	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136047	48	6h	NS
SRR19136049	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136049	51	6h	NS
SRR19136050	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136050	51	6h	NS
SRR19135649	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135649	57	6h	Fsk
SRR19135650	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135650	57	6h	Fsk
SRR19135651	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135651	57	6h	Fsk
SRR19135652	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135652	57	6h	Fsk
SRR19135654	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135654	42	6h	Fsk
SRR19135655	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135655	42	6h	Fsk
SRR19135656	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135656	42	6h	Fsk
SRR19135657	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135657	42	6h	Fsk
SRR19135904	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135904	48	6h	Fsk
SRR19135905	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135905	48	6h	Fsk
SRR19135906	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135906	48	6h	Fsk
SRR19135907	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135907	48	6h	Fsk
SRR19135912	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135912	51	6h	Fsk
SRR19135914	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135914	49	6h	Fsk
SRR19135915	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19135915	49	6h	Fsk
SRR19136034	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136034	57	6h	NS
SRR19136035	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136035	57	6h	NS
SRR19136036	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136036	57	6h	NS
SRR19136037	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/hbe_kallisto/SRR19136037	57	6h	NS
